ROW,Gender,MS,NRC,age_group,join_bank_date,ntb,industry,occupation,edu_level,cust_lifestyle,life_stage,proposition,top_spending_category,VHIS,child,payroll,expire_risk,language,preferred_channel,bustrip,pets,oversea,rel_with_rm,imodel_seg,optin_channel,favor_channel,lead3m,digital_FX,digital_INV,digital_INS,balance_casa,balance_tmd,trb_range,limit_cc,allocation_inv,allocation_cash,asset_class,income,wealth_persona,mortgage,hldg_FX,hldg_INV,hldg_INS,hldg_INV_BOND,hldg_INV_FUND,hldg_INV_SP,WM_visit,fhc_goal_type,fhc_property_type,fhc_offus_wealth,ins_cashvalue,ins_anp,trans_security,recent_maturity,wealth_product_hldg_pref,IIF_hldg_pref,security_sector,last_IWS_trans,rpq_level
a01,Male,Single,N,20-40,2021/3/16,N,UNSKILLED,ENG-OTHERS,NON-COL,,Student / Career Starter,Prestige,Charity,N,Y,Y,N,Others,App,N,Y,Y,Acquaintance,Unknown,DM,others,Y,N,N,Y,>500k,>500k,8M-20M,10k-30k,0.00%,100.00%,,50k-100k,,N,Y,N,N,N,N,N,Y,Managing Wealth,INVESTMENT_PROPERTY,BOND,,,>10,,,inv,Industrial Transportation,<12m,2
a02,Female,Married,Y,60+,2010/7/18,N,,,COLLEGE,Mass Hotel,Retired,Prestige Private,Tuition,N,Y,N,Y,Mandarin,Phone,N,Y,N,Intimate & warm client,Acquaintance Plus,CALL,Mobile App,N,Y,Y,N,50k-100k,50k-100k,0-500K,0-10k,57.95%,42.05%,,,,Y,Y,Y,Y,N,N,Y,N,Retirement,,BOND,100K–500K,10K–50K,2-3,CPI,bond,ins,Utilities,<12m,3
a03,Male,Single,Y,60+,2000/11/14,N,UNSKILLED,DRIVER-UNCLASSIFIED,NON-COL,Michelin & Hotel Diner,Retired,Prestige Private,Others,N,N,N,Y,Mandarin,Email,Y,Y,Y,New-to-Me Client,Acquaintance,DM,Mobile App,N,N,N,N,>500k,100k-500k,0-500K,10k-30k,56.91%,43.09%,,50k-100k,FX Investor,Y,N,Y,Y,N,N,Y,N,Protection,LIVE_WITH_FAMILY,BOND,100K–500K,50K–100K,>10,MXI,structure product,fx,Basic Materials,<12m,4
a04,Female,Married,N,51-60,2025/4/23,Y,HOUSEWIFE,HOUSEWIFE,COLLEGE,"Luxury Hotel,Legacy Planning,Health-conscious",Family with Kids,Prestige Private,Dining,Y,Y,N,Y,Cantonese,Email,Y,N,Y,New-to-Me Client,Intimate Plus,DM,Branch,N,N,Y,Y,50k-100k,50k-100k,500K-1M,50k-100k,44.72%,55.28%,Equity:21% & Bond:14% & Money Market:40% & Others: 24%,,YOLO,N,N,Y,Y,N,Y,Y,Y,,INVESTMENT_PROPERTY,,1M–3M,100K–300K,2-3,,,ins,Support Services,<12m,2
a05,Male,Married,Y,41-50,2014/1/30,N,CIVIL SERVANT,PSYCHIATRIST,COLLEGE,"Fine Diner,Cafe & Coffee Lover,Investing (FX & Crypto)",Family with Kids,Prestige,Savings & investment,Y,N,Y,N,Mandarin,Phone,Y,N,N,Unknown,Acquaintance Plus,EDM,others,Y,Y,N,Y,0-50k,0-50k,>20M,30k-50k,6.89%,93.11%,Equity:12% & Bond:46% & Money Market:21% & Others: 21%,>100k,Dividend Earner,Y,Y,Y,N,N,Y,Y,Y,Legacy,,DEPOSIT,,,>10,MXI,structure product,inv,Pharmaceuticals & Biotechnology,<12m,5
a06,Male,Unknown,N,51-60,2012/10/19,N,MEDICAL,OFFICER,NON-COL,,Working Mass,Prestige,Tuition,N,N,Y,Y,Cantonese,Email,Y,N,N,Unknown,Warm Plus,CALL,Mobile App,N,N,Y,N,100k-500k,>500k,500K-1M,>100k,88.12%,11.88%,,>100k,,Y,Y,Y,Y,Y,N,Y,N,Education,RENTAL,,1M–3M,500K–1M,2-3,INV BOND,fund,ins,Specialty Retail,<12m,5
a07,Female,Unknown,N,60+,2009/5/11,N,,,UNKNOWN,Pet Lover,Elite Working Class,Prestige,Tuition,N,Y,N,Y,Cantonese,Phone,Y,Y,Y,Unknown,Warm Plus,EDM,Mobile App,Y,Y,N,Y,100k-500k,50k-100k,0-500K,0-10k,0.00%,100.00%,,>100k,Moderate Asset Allocator,Y,N,N,Y,N,N,N,Y,Protection,MORTGAGED,BOND,,,4-10,,,inv,Oil & Gas,<12m,2
a08,Female,Married,N,51-60,2020/10/9,N,LEGAL,LAB TECHNICIAN,COLLEGE,Fine Diner,Retired,Prestige Private,Bills,Y,Y,N,Y,Others,App,N,N,Y,Acquaintance,Warm,EDM,Mobile App,Y,Y,Y,N,100k-500k,100k-500k,8M-20M,30k-50k,28.35%,71.65%,,20k-50k,Stock Buy-n-Hold,Y,N,Y,N,Y,N,Y,N,Education,INVESTMENT_PROPERTY,,,,2-3,,bond,inv,Properties,<12m,3
a09,Female,Married,N,41-50,2005/2/22,N,OTHER,COMPANY DIRECTOR,UNKNOWN,Legacy Planning,Family with Kids,Prestige,Bills,Y,Y,Y,Y,Cantonese,Phone,Y,Y,Y,Intimate & warm client,Intimate Plus,CALL,Mobile App,Y,Y,Y,Y,100k-500k,0-50k,8M-20M,10k-30k,88.22%,11.78%,,UNKNOWN,Penny Saver,N,N,Y,N,Y,N,Y,Y,,,STOCKS,,,2-3,MXI,structure product,fx,Basic Materials,<12m,Expired
a10,Male,Unknown,Y,51-60,2019/2/13,N,,,NON-COL,Electric Vehicles Owner,Working Mass,Prestige Private,Leisure,N,Y,Y,N,Mandarin,Email,Y,Y,N,Intimate & warm client,Intimate,CALL,Branch,N,Y,N,N,0-50k,0-50k,3M-8M,>100k,1.60%,98.40%,,10k-20k,,N,Y,Y,Y,N,N,Y,N,Legacy,CLEAR_TITLE,DEPOSIT,1M–3M,50K–100K,<=1,MXI,fund,fx,Banks,12-24m,5
